년도	월	약효분류코드	약효분류명	수량	사용금액
2018	2	623	치나제	12	0
2018	2	629	기타의 화학요법제	34,012	72,747
2018	2	631	백신류	0	7
2018	2	632	독소류 및 톡소이드류	1	116
2018	2	633	항독소 및 렙토스피라혈청류	0	1
2018	2	634	혈액제제류	5,224	17,659
2018	2	635	생물학적 시험용제제류	0	7
2018	2	636	생물학적 제제	0	13
2018	2	639	기타의 생물학적 제제	7	3,329
2018	2	641	항원충제	7,419	1,429
2018	2	642	구충제	10	5
2018	2	712	연고기제	0	0
2018	2	713	용해제	699	178
2018	2	721	X선조영제	2,982	27,292
2018	2	722	일반검사용 시약	10	65
2018	2	728	기능검사용 시약	12	158
2018	2	729	기타의 진단용약	143	77
2018	2	799	따로 분류되지 않고 치료를 주목적으로 하지 않는 의약품	0	5
2018	2	811	아편알카로이드계 제제	4,286	1,627
2018	2	821	합성마약	4,415	8,349
2018	2	999	해당사항없음	81	11
2018	3	111	전신마취제	925	3,224
2018	3	112	최면진정제	19,745	2,908
2018	3	113	항전간제	62,028	16,876
2018	3	114	해열·진통·소염제	393,268	65,082
2018	3	115	각성제,흥분제	1,892	1,526
2018	3	116	진훈제	2,436	87
2018	3	117	정신신경용제	193,036	38,429
2018	3	119	기타의 중추신경용약	121,291	72,731
2018	3	121	국소마취제	3,733	2,083
2018	3	122	골격근이완제	50,540	6,910
2018	3	123	자율신경제	18,453	2,563
2018	3	124	진경제	31,819	4,025
2018	3	129	기타의 말초신경용약	0	0
2018	3	131	안과용제	65,327	48,466
2018	3	132	이비과용제	1,190	5,272
2018	3	141	항히스타민제	251,830	13,132
2018	3	142	자격요법제(비특이성면역원제제를 포함)	12,650	30,109
2018	3	149	기타의 알레르기용약	42,471	17,498
2018	3	211	강심제	12,799	1,283
2018	3	212	부정맥용제	21,945	2,302
2018	3	213	이뇨제	28,717	1,525
2018	3	214	혈압강하제	276,343	147,000
2018	3	215	혈관보강제	4,383	870
2018	3	216	혈관수축제	638	82
2018	3	217	혈관확장제	60,978	10,947
2018	3	218	동맥경화용제	216,614	149,053
2018	3	219	기타의 순환계용약	181,803	52,202
2018	3	220	호흡기관용약	66	2,288
2018	3	221	호흡촉진제	98	251
2018	3	222	진해거담제	440,461	35,492
2018	3	223	함소흡입제	453,867	3,589
2018	3	229	기타의 호흡기관용약	50,814	8,629
2018	3	231	치과구강용약	810	800
2018	3	232	소화성궤양용제	356,093	92,710
2018	3	233	건위소화제	95	2
2018	3	234	제산제	88,857	3,592
2018	3	235	최토제,진토제	10,463	5,254
2018	3	236	이담제	13,284	2,695
2018	3	237	정장제	34,700	3,745
2018	3	238	하제,완장제	2,397	446
2018	3	239	기타의 소화기관용약	218,887	25,130
2018	3	241	뇌하수체호르몬제	2,406	5,345
2018	3	243	갑상선,부갑상선호르몬제	37,169	3,277
2018	3	244	단백동화스테로이드제	1	1
2018	3	245	부신호르몬제	48,071	4,600
2018	3	246	남성호르몬제	225	104
2018	3	247	난포호르몬 및 황체호르몬제	9,399	4,644
2018	3	249	기타의 호르몬제(항호르몬제를 포함)	728	14,541
2018	3	252	자궁수축제	222	101
2018	3	255	비뇨생식기관용제(성병예방제 포함)	4,086	1,476
2018	3	256	치질용제	36	100
2018	3	259	기타의 비뇨생식기관 및 항문용약	64,487	39,039
2018	3	261	외피용살균소독제	1	2
2018	3	262	창상보호제	0	0
2018	3	263	화농성질환용제	41	134
2018	3	264	진통·진양·수렴·소염제	2,692	8,947
2018	3	265	기생성 피부질환용제	553	2,713
2018	3	266	피부연화제(부식제를 포함)	54	191
2018	3	267	모발용제(발모,탈모,염모,양모제)	0	0
2018	3	269	기타의 외피용약	871	3,434
2018	3	311	비타민 A 및 D제	6,131	2,892
2018	3	312	비타민 B₁제	5,052	188
2018	3	313	비타민 B제(비타민 B₁을 제외)	11,090	321
2018	3	314	비타민 C 및 P제	214	53
2018	3	315	비타민 E 및 K제	84	19
2018	3	316	혼합비타민제(비타민 A D 혼합제를 제외)	2,159	493
2018	3	321	칼슘제	31,999	2,466
2018	3	322	무기질제제	12,659	1,869
2018	3	323	당류제	1,740	2,217
2018	3	325	단백아미노산제제	2,360	13,184
2018	3	326	장기제제	98	84
2018	3	329	기타의 자양강장변질제	43	616
2018	3	331	혈액대용제	10,898	10,966
2018	3	332	지혈제	1,273	2,890
2018	3	333	혈액응고저지제	10,594	13,442
2018	3	339	기타의 혈액 및 체액용약	54,881	39,242
2018	3	341	인공신장관류용제	21,601	11,688
2018	3	349	기타의 인공관류용제	845	9,231
2018	3	391	간장질환용제	49,738	22,964
2018	3	392	해독제	4,492	5,237
2018	3	394	통풍치료제	12,867	1,769
2018	3	395	효소제제	76,097	13,210
2018	3	396	당뇨병용제	215,245	82,918
2018	3	398	종합대사성제제	0	0
2018	3	399	따로 분류되지 않는 대사성 의약품	57,710	49,009
2018	3	421	항악성종양제	9,776	119,061
2018	3	429	기타의 종양치료제	253	850
2018	3	431	방사성 의약품	1,046	7,572
2018	3	439	기타의 조직세포의 치료 및 진단	62	22,070
2018	3	490	기타의 조직세포의 기능용의약품	1,041	932
2018	3	611	주로 그람양성균에 작용하는 것	665	3,545
2018	3	612	주로 그람음성균에 작용하는 것	703	1,849
2018	3	613	주로 항산성균에 작용하는 것	1,170	276
2018	3	614	주로 그람양성균,리케치아,비루스에 작용하는 것	6,468	3,381
2018	3	615	주로 그람양성,음성균,리케치아,비루스에 작용하는 것	4,491	671
2018	3	616	주로 곰팡이,원충에 작용하는 것	17	1,997
2018	3	617	주로 악성종양에 작용하는 것	29	995
2018	3	618	주로 그람양성,음성균에 작용하는 것	196,428	76,094
2018	3	619	기타의 항생물질 제제(복합항생물질제제를 포함)	23,482	8,704
2018	3	621	설화제	3,814	574
2018	3	622	항결핵제	3,885	756
2018	3	623	치나제	15	0
2018	3	629	기타의 화학요법제	30,104	73,591
2018	3	631	백신류	0	10
2018	3	632	독소류 및 톡소이드류	2	149
2018	3	633	항독소 및 렙토스피라혈청류	0	5
2018	3	634	혈액제제류	6,018	19,587
2018	3	635	생물학적 시험용제제류	1	10
