년도	월	약효분류코드	약효분류명	수량	사용금액	대분류코드	중분류코드	대분류	중분류
2018	2	215	혈관보강제	3908	777	200	210	개개의 기관계용 의약품	순환계용약
2018	2	216	혈관수축제	548	69	200	210	개개의 기관계용 의약품	순환계용약
2018	2	217	혈관확장제	53384	9627	200	210	개개의 기관계용 의약품	순환계용약
2018	2	218	동맥경화용제	189591	130294	200	210	개개의 기관계용 의약품	순환계용약
2018	2	219	기타의 순환계용약	160468	46121	200	210	개개의 기관계용 의약품	순환계용약
2018	2	220	호흡기관용약	59	2022	200	220	개개의 기관계용 의약품	호흡기관용약
2018	2	221	호흡촉진제	86	218	200	220	개개의 기관계용 의약품	호흡기관용약
2018	2	222	진해거담제	410096	34047	200	220	개개의 기관계용 의약품	호흡기관용약
2018	2	223	함소흡입제	433018	3432	200	220	개개의 기관계용 의약품	호흡기관용약
2018	2	229	기타의 호흡기관용약	45436	8026	200	220	개개의 기관계용 의약품	호흡기관용약
2018	2	231	치과구강용약	693	666	200	230	개개의 기관계용 의약품	소화기관용약
2018	2	232	소화성궤양용제	319132	81744	200	230	개개의 기관계용 의약품	소화기관용약
2018	2	233	건위소화제	88	2	200	230	개개의 기관계용 의약품	소화기관용약
2018	2	234	제산제	81101	3255	200	230	개개의 기관계용 의약품	소화기관용약
2018	2	235	최토제,진토제	9454	4681	200	230	개개의 기관계용 의약품	소화기관용약
2018	2	236	이담제	11747	2381	200	230	개개의 기관계용 의약품	소화기관용약
2018	2	237	정장제	30988	3220	200	230	개개의 기관계용 의약품	소화기관용약
2018	2	238	하제,완장제	2255	417	200	230	개개의 기관계용 의약품	소화기관용약
2018	2	239	기타의 소화기관용약	197760	22539	200	230	개개의 기관계용 의약품	소화기관용약
2018	2	241	뇌하수체호르몬제	2168	5137	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	2	243	갑상선,부갑상선호르몬제	32492	2308	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	2	244	단백동화스테로이드제	2	1	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	2	245	부신호르몬제	41829	4051	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	2	246	남성호르몬제	176	81	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	2	247	난포호르몬 및 황체호르몬제	8277	4063	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	2	249	기타의 호르몬제(항호르몬제를 포함)	626	12609	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	2	252	자궁수축제	199	88	200	250	개개의 기관계용 의약품	비뇨생식기관 및 항문용약
2018	2	255	비뇨생식기관용제(성병예방제 포함)	3531	1259	200	250	개개의 기관계용 의약품	비뇨생식기관 및 항문용약
2018	2	256	치질용제	32	91	200	250	개개의 기관계용 의약품	비뇨생식기관 및 항문용약
2018	2	259	기타의 비뇨생식기관 및 항문용약	57217	34608	200	250	개개의 기관계용 의약품	비뇨생식기관 및 항문용약
2018	2	261	외피용살균소독제	1	3	200	260	개개의 기관계용 의약품	외피용약
2018	2	262	창상보호제	0	0	200	260	개개의 기관계용 의약품	외피용약
2018	2	263	화농성질환용제	40	110	200	260	개개의 기관계용 의약품	외피용약
2018	2	264	진통·진양·수렴·소염제	2351	7067	200	260	개개의 기관계용 의약품	외피용약
2018	2	265	기생성 피부질환용제	447	2095	200	260	개개의 기관계용 의약품	외피용약
2018	2	266	피부연화제(부식제를 포함)	59	188	200	260	개개의 기관계용 의약품	외피용약
2018	2	267	모발용제(발모,탈모,염모,양모제)	0	0	200	260	개개의 기관계용 의약품	외피용약
2018	2	269	기타의 외피용약	798	3031	200	260	개개의 기관계용 의약품	외피용약
2018	2	311	비타민 A 및 D제	5334	2531	300	310	대사성 의약품	비타민제
2018	2	312	비타민 B₁제	4672	178	300	310	대사성 의약품	비타민제
2018	2	313	비타민 B제(비타민 B₁을 제외)	9875	286	300	310	대사성 의약품	비타민제
2018	2	314	비타민 C 및 P제	198	48	300	310	대사성 의약품	비타민제
2018	2	315	비타민 E 및 K제	76	18	300	310	대사성 의약품	비타민제
2018	2	316	혼합비타민제(비타민 A D 혼합제를 제외)	1995	461	300	310	대사성 의약품	비타민제
2018	2	321	칼슘제	27498	2122	300	320	대사성 의약품	자양강장변질제
2018	2	322	무기질제제	11335	1572	300	320	대사성 의약품	자양강장변질제
2018	2	323	당류제	1648	2099	300	320	대사성 의약품	자양강장변질제
2018	2	325	단백아미노산제제	2251	12610	300	320	대사성 의약품	자양강장변질제
2018	2	326	장기제제	96	82	300	320	대사성 의약품	자양강장변질제
2018	2	329	기타의 자양강장변질제	39	586	300	320	대사성 의약품	자양강장변질제
2018	2	331	혈액대용제	10030	10031	300	330	대사성 의약품	혈액 및 체액용약
2018	2	332	지혈제	1150	2779	300	330	대사성 의약품	혈액 및 체액용약
2018	2	333	혈액응고저지제	9295	11615	300	330	대사성 의약품	혈액 및 체액용약
2018	2	339	기타의 혈액 및 체액용약	50993	36097	300	330	대사성 의약품	혈액 및 체액용약
2018	2	341	인공신장관류용제	19463	10555	300	340	대사성 의약품	인공관류용제
2018	2	349	기타의 인공관류용제	798	8834	300	340	대사성 의약품	인공관류용제
2018	2	391	간장질환용제	43911	19944	300	390	대사성 의약품	기타의 대사성 의약품
2018	2	392	해독제	3963	4723	300	390	대사성 의약품	기타의 대사성 의약품
2018	2	394	통풍치료제	11128	1522	300	390	대사성 의약품	기타의 대사성 의약품
2018	2	395	효소제제	67525	12313	300	390	대사성 의약품	기타의 대사성 의약품
2018	2	396	당뇨병용제	190580	73199	300	390	대사성 의약품	기타의 대사성 의약품
2018	2	398	종합대사성제제	0	0	300	390	대사성 의약품	기타의 대사성 의약품
2018	2	399	따로 분류되지 않는 대사성 의약품	54079	39121	300	390	대사성 의약품	기타의 대사성 의약품
2018	2	421	항악성종양제	8910	112198	400	420	조직세포의 기능용 의약품	종양용약
2018	2	429	기타의 종양치료제	219	762	400	420	조직세포의 기능용 의약품	종양용약
2018	2	431	방사성 의약품	876	6238	400	430	조직세포의 기능용 의약품	조직세포의 치료 및 진단 목적
2018	2	439	기타의 조직세포의 치료 및 진단	56	19627	400	430	조직세포의 기능용 의약품	조직세포의 치료 및 진단 목적
2018	2	490	기타의 조직세포의 기능용의약품	918	824	400	490	조직세포의 기능용 의약품	자료없음
2018	2	611	주로 그람양성균에 작용하는 것	628	3253	600	610	항병원생물성 의약품	항생물질제제
2018	2	612	주로 그람음성균에 작용하는 것	603	1566	600	610	항병원생물성 의약품	항생물질제제
2018	2	613	주로 항산성균에 작용하는 것	1170	283	600	610	항병원생물성 의약품	항생물질제제
2018	2	614	주로 그람양성균,리케치아,비루스에 작용하는 것	5972	3213	600	610	항병원생물성 의약품	항생물질제제
2018	2	615	주로 그람양성,음성균,리케치아,비루스에 작용하는 것	3910	586	600	610	항병원생물성 의약품	항생물질제제
2018	2	616	주로 곰팡이,원충에 작용하는 것	17	2018	600	610	항병원생물성 의약품	항생물질제제
2018	2	617	주로 악성종양에 작용하는 것	26	924	600	610	항병원생물성 의약품	항생물질제제
2018	2	618	주로 그람양성,음성균에 작용하는 것	164068	69287	600	610	항병원생물성 의약품	항생물질제제
2018	2	619	기타의 항생물질 제제(복합항생물질제제를 포함)	19042	7791	600	610	항병원생물성 의약품	항생물질제제
2018	2	621	설화제	3384	507	600	620	항병원생물성 의약품	화학료법제
2018	2	622	항결핵제	3883	761	600	620	항병원생물성 의약품	화학료법제
2018	2	623	치나제	12	0	600	620	항병원생물성 의약품	화학료법제
2018	2	629	기타의 화학요법제	34012	72747	600	620	항병원생물성 의약품	화학료법제
2018	2	631	백신류	0	7	600	630	항병원생물성 의약품	생물학적 제제
2018	2	632	독소류 및 톡소이드류	1	116	600	630	항병원생물성 의약품	생물학적 제제
2018	2	633	항독소 및 렙토스피라혈청류	0	1	600	630	항병원생물성 의약품	생물학적 제제
2018	2	634	혈액제제류	5224	17659	600	630	항병원생물성 의약품	생물학적 제제
2018	2	635	생물학적 시험용제제류	0	7	600	630	항병원생물성 의약품	생물학적 제제
2018	2	636	생물학적 제제	0	13	600	630	항병원생물성 의약품	생물학적 제제
2018	2	639	기타의 생물학적 제제	7	3329	600	630	항병원생물성 의약품	생물학적 제제
2018	2	641	항원충제	7419	1429	600	640	항병원생물성 의약품	기생동물에 대한 의약품
2018	2	642	구충제	10	5	600	640	항병원생물성 의약품	기생동물에 대한 의약품
2018	2	712	연고기제	0	0	700	710	치료를 주목적으로 하지 않는 의약품 및 관련제품	조제용약
2018	2	713	용해제	699	178	700	710	치료를 주목적으로 하지 않는 의약품 및 관련제품	조제용약
2018	2	721	X선조영제	2982	27292	700	720	치료를 주목적으로 하지 않는 의약품 및 관련제품	진단용약
2018	2	722	일반검사용 시약	10	65	700	720	치료를 주목적으로 하지 않는 의약품 및 관련제품	진단용약
2018	2	728	기능검사용 시약	12	158	700	720	치료를 주목적으로 하지 않는 의약품 및 관련제품	진단용약
2018	2	729	기타의 진단용약	143	77	700	720	치료를 주목적으로 하지 않는 의약품 및 관련제품	진단용약
2018	2	799	따로 분류되지 않고 치료를 주목적으로 하지 않는 의약품	0	5	700	790	치료를 주목적으로 하지 않는 의약품 및 관련제품	기타의 치료를 주목적으로 하지않는 의약품
2018	2	811	아편알카로이드계 제제	4286	1627	800	810	마약	알카로이드 마약(천연)
2018	2	821	합성마약	4415	8349	800	820	마약	비알카로이드계 마약
2018	2	999	해당사항없음	81	11	900	990	자료없음	자료없음
